Iterasi,Populasi Predator,Populasi Prey
1,48.234121,31.274935
2,46.441808,32.546076
3,44.631197,33.807900
4,42.810517,35.054916
5,40.987964,36.281752
6,39.171570,37.483237
7,37.369089,38.654480
8,35.587882,39.790934
9,33.834823,40.888459
10,32.116218,41.943364
11,30.437743,42.952449
12,28.804397,43.913016
13,27.220481,44.822890
14,25.689583,45.680404
15,24.214588,46.484399
16,22.797697,47.234189
17,21.440463,47.929540
18,20.143830,48.570633
19,18.908185,49.158020
20,17.733409,49.692586
